"Отметка времени","If you weren't on master; what branch were you on? Please use the full code name of the branch, not short hand. The 'origin/' isn't needed.","What is the highest role you have in the team?","Who are you? Please use your discord name starting with a capital letter without the numbers. Don't use your server nickname.","Was this an observer game?","If this game was NOT an observer, which nation did you play? Please use the tag of the nation in capital letters.","If you did switch to any other nation, who was it? Please use the tag of the nation in capital letters. Note this is only if you legally switched, console commands don't count here.","When did you play to? Note that if you didn't play until the end of the Weltkrieg it doesn't count towards the two games per month minimum.","When in real life did you start this game?","Did you crash?","If you did crash...","Were you in single-player or multi-player?","Who won the Spanish Civil War? If one side is close to winning put them down.","When did the Spanish Civil War end?","Who won the Indochinese civil war? If one side is close to winning put them down.","When did the Indochinese civil war end?","If the American Civil War was a two-way, who won it?","If the American Civil War was a three-way, who won it?","If MacArthur retreated EAST, who won the ACW?","If MacArthur retreated WEST, who won the ACW?","If MacArthur did NOT retreat, who won the ACW?","When did the American Civil War end?","Did Canada intervene in the ACW?","When did the 2nd Weltkrieg start?","Who won the French-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If Russia was NOT socialist, who won the Russo-German part of the 2nd Weltkrieg? If one side is close to winning put them down.","If the Reichspakt lost the 2nd Weltkrieg, when did they fall?","If the Internationale lost the 2nd Weltkrieg, when did France fall?","If the Internationale lost the 2nd Weltkrieg, when did Britain fall?","If Russia lost the 2nd Weltkrieg, when did they fall?","Did the Entente collapse?","If the Entente is alive, when did it join the Weltkrieg?","If Canada was defeated, when did they fall?","If Canada was defeated, who caused it?","If National France was defeated, when did they fall?","If National France was defeated, who did it?","If Austria is alive, when did it join the Weltkrieg?","If Austria intervened in the Weltkrieg and lost, when did they fall?","If the Pact won against Bulgaria, when did they attack Austria?","Did the Belgrade Pact win against Austria?","Did National France land on the mainland?","Did Canada land on Britain?","Who controls most of the Italian peninsula?","Who won the Argentinian-Chilean war? If one side is close to winning put them down.","When did the Argentinian-Chilean War end?","Who won the Argentinian-Brazilian war? If one side is close to winning put them down.","Who won the Fourth Balkan War? If one side is close to winning put them down.","If the Ottomans went Kemalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID NOT intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Kemalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","If the Ottomans went Federalist and Russia DID intervene against them, who won the War in the Desert? If one side is close to winning, put them down.","Did Azerbaijan join the Ottomans against Persia?","Which tags revolted against the Ottomans during the course of the game? Check all that apply.","Who controls most of the Indian subcontinent?","Did the Netherlands go socialist?","When did the Zhifeng War start?","When did the Second Sino-Japanese War start?","When did the Fading Sun happen?","When was Sichuan annexed?","When was Yunnan annexed?","When was Shanxi annexed?","When was Qing annexed?","When was Fengtian annexed?","Did Japan go to war with Russia?","Who united China?","How far did Japan push into China (if they attacked)?","Who won the Xinjiang Civil War?","When did the Xinjiang Civil War end?","Who won the Northwestern War?","When did the Northwestern War end?","Who was the victor of the League War?","When did the League War end?","If someone intervened in the League War, who was it?"
"2022/05/24 9:17:25 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1939","Indochina","1937","","","","","CSA","1944","Yes, sided with PSA","","Internationale","","Russia","1940","","","","No","1940","","","1942","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1939","","The Pact","","","","","No","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania","Princely Federation/Hyderabad","Yes","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1939","Did not happen","Did not happen","Yes, Japan started the war","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/24 9:17:37 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1940","2022-05-24","No","","Single-player","","","Indochina","1936","","","","","","","Yes, sided with PSA","","","","","","","","","No","Did not join","","","","","1940","","1940","No","No","No","Socialist Republic of Italy","Argentina","1938","","The Pact","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","Did not happen","Did not happen","","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1937","","","Left Kuomintang","1936",""
"2022/05/24 9:17:51 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1941","GEA (with or without Vietnam)","","","","USA","","","1940","Yes, sided with PSA","","Internationale","","Russia","1940","","","","Yes, during or after WK2","1940","1942","Internationale","1940","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","No","Socialist Republic of Italy","","","","The Pact","","","","","No","Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","No","1939","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Yes, Russia started the war","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:18:06 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","1941","Indochina","1938","","","","","","","Yes, sided with PSA","","Internationale","Russian Socialist Republic","","1941","","","","No","1940","","","1942","Commune of France","1941","1942","1941","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania","Split between starting nations","Yes","1941","Did not happen","Did not happen","1940","Did not happen","1939","1941","1943","No","Right-KMT","","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Left Kuomintang","1936",""
"2022/05/24 9:18:20 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1938","Indochina","1936","","","","","","","No","","Internationale","Russian Socialist Republic","","1942","","","","No","1940","","","1943","Internationale (not France)","1941","1942","1941","Yes, during or after WK2","No","","Socialist Republic of Italy","Argentina","1938","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","1941","","Did not happen","Did not happen","1942","1941","Did not happen","Yes, someone else started the war","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","","","Mongolia and Tibet","1938","Left Kuomintang","1937",""
"2022/05/24 9:18:35 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","1937","","","","","TEX","1941","Yes, sided with PSA","Before 1939","Internationale","","Russia","1939","","","","Yes, during or after WK2","1941","1943","Internationale","1941","Internationale (not France)","1939","1940","Did not join","","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1943","","The Pact","","","","","No","Hejaz;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","Yes","1939","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","1942","Yes, Russia started the war","Nobody","","","","Mongolia and Tibet","1938","Nanjing Clique","1937",""
"2022/05/24 9:18:48 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1938","GEA (with or without Vietnam)","","","","USA","","","1940","Yes, sided with USA","1941 or after","Reichspakt","","Reichspakt","","1942","","1943","No","1941","","","","","1941","","1941","No","Yes, successfully","Yes, was repelled","Sardinia","","","Argentina","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Assyria;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","1939","Did not happen","Did not happen","1939","1940","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1940","","","Nanjing Clique","1936",""
"2022/05/24 9:19:01 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1941","GEA (with or without Vietnam)","1936","","","","","","","Yes, declared war on CSA","","","","","","","1942","","No","1940","","","","","1939","","1939","No","Yes, was repelled","Yes, successfully","Sardinia","Argentina","","","The Pact","","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1938","Did not happen","Did not happen","Did not happen","1942","Did not happen","Did not happen","1941","No","Zhili Qing","","Republic of East Turkestan","1940","Mongolia and Tibet","1942","Anqing Clique","1936",""
"2022/05/24 9:19:14 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1939","Indochina","1937","","","","","","","No","","","","Reichspakt","","","1942","","No","1940","","","","","1941","","1941","No","No","Yes, successfully","Sardinia","","","","The Pact","The Ottoman Empire","","","","No","Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","Did not happen","Did not happen","Did not happen","1940","1940","1938","Did not happen","Did not happen","No","Nobody","","Republic of East Turkestan","1938","Mongolia and Tibet","1940","Anqing Clique","1937",""
"2022/05/24 9:19:28 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","CNT-FAI","1940","Indochina","1936","","","","","CSA","","No","","Internationale","","Russia","1941","","","","No","1940","","","1942","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1942","1942","Did not happen","1941","Did not happen","Did not happen","Did not happen","1942","Yes, Russia started the war","Nobody","Could not push into China","Republic of East Turkestan","1941","Ma Clique","1941","Left Kuomintang","1937",""
"2022/05/24 9:19:42 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","","Indochina","1937","","","","","TEX","1939","Yes, declared war on CSA","","Reichspakt","","Reichspakt","","1941","1942","","No","Did not join","","","","","1940","","1943","No","Yes, successfully","Yes, successfully","Sardinia","","","","The Pact","","","","","No","Iraq;Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Did not happen","No","Nobody","","Xinjiang Clique","1937","Mongolia and Tibet","1938","Anqing Clique","1937",""
"2022/05/24 9:19:56 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Carlists","1940","GEA (with or without Vietnam)","","","","","","NEE","1942","No","","Internationale","","Russia","1940","","","","No","1940","","","1942","Internationale (not France)","1940","","1940","","No","No","Socialist Republic of Italy","Argentina","1938","","The Pact","","","","","No","Iraq;Armenia;Cyrenaica","Split between starting nations","Yes","1938","1942","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1942","Yes, Russia started the war","Nobody","Could not push into China","Republic of East Turkestan","1939","Ma Clique","1942","Nanjing Clique","1936",""
"2022/05/24 9:20:10 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1940","Indochina","1936","","","","CSA","","1942","Yes, sided with PSA","","Internationale","","Russia","1942","","","","No","1940","","","1942","Commune of France","1940","","","","Yes, was repelled","No","Socialist Republic of Italy","","","Argentina","Bulgaria","","","","","No","Kurdistan;Armenia;Tripolitania;Cyrenaica","Bharatiya Commune","No","1939","1945","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1945","No","Nobody","Could not push into China","Republic of East Turkestan","1939","Mongolia and Tibet","1938","Anqing Clique","1936",""
"2022/05/24 9:20:24 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1941","","","","USA","","","","1940","No","","Internationale","","Russia","1939","","","","Yes, during or after WK2","1941","1943","Internationale","1941","Internationale (not France)","1939","1940","","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","","Bulgaria","","The Ottoman Empire","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","No","1939","1941","Did not happen","Did not happen","Did not happen","Before 1938","Did not happen","1942","Yes, Russia started the war","Nobody","Could not push into China","","","Ma Clique","1943","Nanjing Clique","1936",""
"2022/05/24 9:20:38 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1939","","","","","USA","","","1943","Yes, sided with PSA","","Internationale","","Russia","1941","","","","No","1940","","","1943","Commune of France","1940","","1940","Yes, before WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1941","","The Pact","","","","","No","Hejaz;Kurdistan;Cyprus;Armenia;Cyrenaica","Split between starting nations","No","1940","1942","Did not happen","1942","1943","Before 1938","Did not happen","1941","Yes, someone else started the war","Nobody","Could not push into China","","","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/24 9:20:51 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-05-24","No","","Single-player","CNT-FAI","1938","Indochina","1937","","","","","","","No","","Internationale","","Russia","1939","","","","No","1941","","","1941","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","No","Socialist Republic of Italy","Argentina","1938","","The Pact","The Ottoman Empire","","","","No","Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1942","Nanjing Clique","1936",""
"2022/05/24 9:21:04 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Carlists","1939","Indochina","1937","","","","","CSA","1944","Yes, declared war on CSA","","","","","","","","","No","1941","","","","","1940","","","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","","Bulgaria","","The Ottoman Empire","","","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","No","1943","1943","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1944","Yes, someone else started the war","Nobody","Could not push into China","Kumul Khanate","1943","","","Nanjing Clique","1936",""
"2022/05/24 9:21:19 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1939","GEA (with or without Vietnam)","1937","","","","","CSA","1945","Yes, declared war on CSA","","Internationale","","Russia","1941","","","","Yes, during or after WK2","1940","1945","Internationale","1941","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","No","No","Socialist Republic of Italy","","","","The Pact","The Ottoman Empire","","","","No","Hejaz;Cyprus;Armenia;Tripolitania","Princely Federation/Hyderabad","No","","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1937","Mongolia and Tibet","","Left Kuomintang","1937",""
"2022/05/24 9:21:33 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1939","Indochina","1937","","","","","","","No","","Internationale","","Russia","1940","","","","No","1940","","","1941","Commune of France","1940","","1940","","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1938","Argentina","The Pact","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Tripolitania;Cyrenaica","Princely Federation/Hyderabad","Yes","1939","1945","Did not happen","Did not happen","Did not happen","1938","Did not happen","Did not happen","Yes, Russia started the war","Nobody","Could not push into China","Republic of East Turkestan","1940","Mongolia and Tibet","1938","Nanjing Clique","1936",""
"2022/05/24 9:21:47 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","CNT-FAI","1941","Indochina","1937","","","","","CSA","1939","No","","Internationale","","Russia","1940","","","","Yes, during or after WK2","1939","1943","Internationale","1941","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","ANI Italy","","","","The Pact","","","","","No","Iraq;Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","No","1939","Did not happen","Did not happen","1940","Did not happen","1939","Did not happen","1943","Yes, Russia started the war","Nobody","","","","Ma Clique","1940","Nanjing Clique","1936",""
"2022/05/24 9:22:00 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1944","Indochina","1938","","","","","","","Yes, declared war on CSA","","","","Reichspakt","","","","","No","1940","","","","","1940","","1940","No","Yes, was repelled","No","Split between starting nations","Argentina","1938","","The Pact","","The Ottoman Empire","","","No","Iraq;Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","Yes","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","","","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:22:14 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1943","Indochina","1936","","","","CSA","","1941","Yes, sided with USA","","Internationale","","Russia","1941","","","","Yes, during or after WK2","1940","1942","CSA","1943","Internationale (not France)","1939","1941","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1939","","The Pact","","","","","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","No","1938","","Did not happen","Did not happen","Did not happen","1940","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","","","Nanjing Clique","1936",""
"2022/05/24 9:22:29 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1939","Indochina","1938","","","PSA","","","1942","No","","Internationale","","Russia","1941","","","","No","1940","","","1942","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1938","","The Pact","The Ottoman Empire","","","","No","Armenia;Cyrenaica","Bharatiya Commune","No","Before 1938","1941","Did not happen","1941","Did not happen","1944","1938","1943","Yes, Russia started the war","Right-KMT","Could not push into China","Republic of East Turkestan","1938","Mongolia and Tibet","1938","Left Kuomintang","1937",""
"2022/05/24 9:22:42 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-05-24","No","","Single-player","Kingdom of Spain","1942","Indochina","1937","","","USA","","","1940","No","","","","","","","","","No","1940","","","","","1940","","1940","No","Yes, was repelled","","Sardinia","","","","The Pact","","The Ottoman Empire","","","Yes, and OTT won the war","Iraq;Hejaz;Kurdistan;Assyria;Armenia;Cyrenaica","Bharatiya Commune","No","1940","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","No","Nobody","","","","Ma Clique","1940","Nanjing Clique","1936",""
"2022/05/24 9:22:56 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Kingdom of Spain","1940","GEA (with or without Vietnam)","1936","","","","NEE","","1943","Yes, sided with PSA","","Internationale","","Russia","1940","","","","No","1940","","","1941","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","No","No","Socialist Republic of Italy","","","","The Pact","","","","","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","No","1941","1942","Did not happen","1940","1941","1940","Did not happen","1942","No","Zhili Qing","Could not push into China","Republic of East Turkestan","1937","","","Shandong Clique","1937",""
"2022/05/24 9:23:10 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Carlists","1938","GEA (with or without Vietnam)","1936","","","PSA","","","1943","Yes, sided with PSA","","Internationale","","Russia","1941","","","","No","1940","","","1942","Commune of France","1940","","1940","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Armenia;Tripolitania","Bharatiya Commune","Yes","","Did not happen","","1942","Did not happen","1938","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Republic of East Turkestan","1939","Mongolia and Tibet","1942","Nanjing Clique","1936",""
"2022/05/24 9:23:24 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","CNT-FAI","1940","GEA (with or without Vietnam)","1936","","","CSA","","","1944","Yes, sided with PSA","","Internationale","","Russia","1940","","","","Yes, during or after WK2","1940","1944","Internationale","1941","Commune of France","1939","1940","1939","","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","Argentina","1941","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Hejaz;Kurdistan;Armenia;Cyrenaica","Princely Federation/Hyderabad","No","Did not happen","Did not happen","Did not happen","1941","Did not happen","Did not happen","Did not happen","1942","Yes, Russia started the war","Nobody","","","","Ma Clique","1940","Nanjing Clique","1936",""
"2022/05/24 9:23:37 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","","Indochina","1938","","","","","","","No","","","","","","","1942","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, successfully","Sardinia","","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Hejaz;Kurdistan;Cyprus;Armenia;Tripolitania","Bharatiya Commune","Yes","1939","Did not happen","Did not happen","1943","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","","","Mongolia and Tibet","1940","Nanjing Clique","1936",""
"2022/05/24 9:23:50 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1940","Indochina","1937","","","","","NEE","1941","Yes, sided with PSA","","","","","","","1941","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, successfully","Split between starting nations","Argentina","1939","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Assyria;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","1939","1941","1944","Did not happen","1941","Did not happen","1944","Did not happen","Yes, someone else started the war","Nobody","Pushed back (with or without the Fading Sun)","","","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:24:05 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1938","Indochina","1937","","","","","CSA","1941","Yes, declared war on CSA","","","","Reichspakt","","","1941","","Yes, during or after WK2","1940","1943","CSA","","","1940","","1940","No","Yes, was repelled","Yes, successfully","Socialist Republic of Italy","Peaceful Reunification","","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Iraq;Assyria;Armenia;Tripolitania","Dominion of India","No","1940","1941","Did not happen","Did not happen","1941","1938","Did not happen","Did not happen","Yes, Japan started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1938","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:24:18 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1941","2022-05-24","No","","Single-player","Carlists","1941","GEA (with or without Vietnam)","1937","","","","","TEX","1941","Yes, sided with AUS","","","","","","","","","No","1940","","","","","1941","","1941","No","Yes, was repelled","Yes, was repelled","Split between starting nations","","","","The Pact","","","","","No","Kurdistan;Armenia;Cyrenaica","Bharatiya Commune","Yes","1939","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Yes, someone else started the war","Nobody","","Xinjiang Clique","1937","Mongolia and Tibet","1939","Nanjing Clique","1936",""
"2022/05/24 9:24:32 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","1943","Indochina","1936","","","","","","","Yes, sided with PSA","","Internationale","","Russia","1941","","","","No","1940","","","1941","Commune of France","1940","1941","1940","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","The Ottoman Empire","","","No","Iraq;Kurdistan;Armenia","Split between starting nations","No","1938","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","Did not happen","1943","Yes, Russia started the war","Nobody","","Kumul Khanate","1940","Mongolia and Tibet","1939","Left Kuomintang","1938",""
"2022/05/24 9:24:47 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1945","2022-05-24","No","","Single-player","Carlists","1942","","","","USA","","","","1942","No","","Internationale","","Russia","1939","","","","No","1939","","","1940","Commune of France","1939","1940","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Split between starting nations","Argentina","1938","","The Pact","","The Ottoman Empire","","","No","Kurdistan;Armenia;Cyrenaica","Split between starting nations","No","1939","1941","Did not happen","Did not happen","Did not happen","Before 1938","Did not happen","1941","Yes, Russia started the war","Nobody","Could not push into China","Kumul Khanate","1939","Ma Clique","1941","Nanjing Clique","1936",""
"2022/05/24 9:25:00 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Carlists","1941","Indochina","1937","","","USA","","","1938","No","","Reichspakt","","Reichspakt","","1943","1943","","No","1940","","","","","1941","1943","1941","Yes, during or after WK2","Yes, successfully","Yes, successfully","Sardinia","Argentina","1938","","The Pact","The Ottoman Empire","","","","Yes, and OTT won the war","Kurdistan;Armenia;Tripolitania","Split between starting nations","Yes","1939","1941","Did not happen","1941","1943","1939","1941","1942","No","Nobody","Conquered all but the interior (Sichuan, Yunnan, Shanxi)","Republic of East Turkestan","1939","","","Left Kuomintang","1937",""
"2022/05/24 9:25:15 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1946","2022-05-24","No","","Single-player","CNT-FAI","1940","Indochina","1937","","","","","TEX","1941","No","","Internationale","","Russia","1941","","","","Yes, during or after WK2","1940","1943","Internationale","1942","Internationale (not France)","1940","1941","1940","Yes, during or after WK2","No","Yes, was repelled","Socialist Republic of Italy","Argentina","1939","","The Pact","","","","","No","Iraq;Armenia","Split between starting nations","Yes","1939","1941","Did not happen","1938","Did not happen","1942","1941","Did not happen","Yes, someone else started the war","Nobody","Conquered only the coastal states","Republic of East Turkestan","1940","Mongolia and Tibet","1939","Left Kuomintang","1937",""
"2022/05/24 9:25:29 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1943","Indochina","1938","","","USA","","","1943","Yes, sided with USA","","Internationale","","Russia","1943","","","","No","1940","","","1941","Commune of France","1940","","1940","Yes, before WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","","No","Iraq;Hejaz;Cyprus;Armenia;Tripolitania;Cyrenaica","Split between starting nations","No","1940","1942","Did not happen","Did not happen","Did not happen","Did not happen","1943","1942","Yes, someone else started the war","Nobody","Conquered only the coastal states","","","Mongolia and Tibet","1941","Left Kuomintang","1936",""
"2022/05/24 9:25:43 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","Kingdom of Spain","1943","Indochina","1937","","","USA","","","1943","No","","Internationale","","Russia","1940","","","","No","1940","","","1940","Internationale (not France)","1939","1940","1939","Yes, during or after WK2","Yes, was repelled","Yes, was repelled","Socialist Republic of Italy","","","","The Pact","","","","The Ottoman Empire","Yes, and OTT won the war","Kurdistan;Assyria;Armenia;Cyrenaica","Split between starting nations","No","1939","1942","Did not happen","1939","1940","Did not happen","Did not happen","1942","Yes, Russia started the war","Zhili Qing","Could not push into China","Republic of East Turkestan","","Ma Clique","1944","Nanjing Clique","1936",""
"2022/05/24 9:25:58 PM GMT+4","","Dev","The Alpha Dog","Yes","","","1944","2022-05-24","No","","Single-player","CNT-FAI","1943","Indochina","1937","","","","","CSA","1939","Yes, declared war on CSA","","Internationale","","Russia","1941","","","","Yes, during or after WK2","1940","1942","CSA","1942","","1940","1942","1940","Yes, during or after WK2","Yes, was repelled","No","Socialist Republic of Italy","Argentina","1938","","The Pact","The Ottoman Empire","","","","No","Kurdistan;Cyprus;Armenia;Cyrenaica","Bharatiya Commune","No","Before 1938","1941","1943","Did not happen","Did not happen","Did not happen","Did not happen","1943","Yes, Russia started the war","Nobody","Pushed back (with or without the Fading Sun)","","","Mongolia and Tibet","1941","Shandong Clique","1937",""
